parameter,lower,upper,scale,class,role
t_half_A,0.003472,2.0,log,engineered,sweep
T_A,0.05,0.8,linear,engineered,sweep
n_A,1.0,8.0,linear,engineered,sweep
tau_B,0.0,3.0,linear,engineered,sweep
t_half_B,0.04,3.0,log,engineered,sweep
t_half_C,0.04,2.0,log,engineered,sweep
k_intC,0.0,400.0,linear,engineered,sweep
k_synC,0.0,40.0,linear,engineered,sweep
k_recC,0.0,40.0,linear,engineered,sweep
eta,1.0e-07,1.0e-04,log,engineered,sweep
f_E,0.1,1.0,linear,scenario,sweep
K_R5,700.0,20000.0,log,literature,robustness
delta_I,0.4,1.5,linear,literature,robustness
c,9.1,36.0,linear,literature,robustness
p,1000.0,20000.0,log,literature,robustness
k_rec0_R4,5.545,27.73,log,literature,robustness
k_int0_R4,7.2,28.8,linear,literature,robustness
P5,0.0,2.0,linear,scenario,adversarial
P4,0.0,2.0,linear,scenario,adversarial
